EmpID,Name,Department,Salary,Experience(Years),ExperienceLevel
102,Bob,FINANCE,45000.0,3,Junior
103,Charlie,IT,60000.0,7,Mid-level
104,David,IT,50000.0,5,Mid-level
105,Eve,FINANCE,48065.217391304344,2,Junior
106,Frank,HR,42000.0,4,Mid-level
108,Helen,IT,70000.0,10,Senior
109,Ivy,FINANCE,48000.0,6,Mid-level
110,Jack,HR,41000.0,3,Junior
111,Karen,IT,55000.0,8,Senior
112,Leo,FINANCE,58000.0,9,Senior
114,Nina,FINANCE,48065.217391304344,2,Junior
115,Oscar,IT,47000.0,6,Mid-level
117,Queen,FINANCE,53000.0,7,Mid-level
118,Raj,FINANCE,61000.0,12,Senior
120,Tina,HR,46000.0,5,Mid-level
121,Uma,FINANCE,49500.0,4,Mid-level
122,Victor,IT,72000.0,11,Senior
125,Yara,IT,51000.0,8,Senior
