Transaction ID,Customer ID,Date,Amount,Product,Amount_Normalized,Name,Email,Age,Location
T00001,C7271,2023-04-19,362.9596769691041,Chair,0.3565256359005099,Name_7271,22Q91A667271@mrce.in,20.0,Guntur
T00002,C0861,2023-06-14,454.65327501159817,Mouse,0.44914685769401386,Name_861,22Q91A66861@mrce.in,19.0,Visakhapatnam
T00003,C5391,2023-09-16,351.32006572166085,Laptop,0.34476827183197384,Name_5391,22Q91A665391@mrce.in,20.0,Nizamabad
T00004,C5192,2023-03-17,488.4109097001784,Monitor,0.483246003506419,Name_5192,22Q91A665192@mrce.in,27.0,Warangal
T00005,C5735,2023-01-07,501.4186690191445,Laptop,0.49638535659800703,Name_5735,22Q91A665735@mrce.in,20.0,Medchal
T00006,C6266,2023-07-05,636.1015327699662,Cable,0.6324307475692285,Name_6266,22Q91A666266@mrce.in,16.0,Karimnagar
T00008,C4427,2023-03-20,235.8254452627278,Cable,0.22810524315983124,Name_4427,22Q91A664427@mrce.in,19.0,Secunderabad
T00009,C5579,2023-03-06,402.8909674307629,Desk,0.3968608936426711,Name_5579,22Q91A665579@mrce.in,25.0,Guntur
T00010,C8323,2023-04-25,328.3303472032179,Desk,0.32154597645558214,Name_8323,22Q91A668323@mrce.in,16.0,Secunderabad
T00011,C1686,2023-07-21,572.5151183250165,Chair,0.5682010573717736,Name_1686,22Q91A661686@mrce.in,22.0,Secunderabad
T00012,C0770,2023-05-22,729.1527894703878,Desk,0.7264233628554112,Name_770,22Q91A66770@mrce.in,27.0,Hyderabad
T00013,C6950,2023-04-08,719.7624189625363,Speaker,0.7169379941045,Name_6950,unknown,23.0,Secunderabad
T00014,C2434,2023-11-01,892.7007513349683,Cable,0.8916258674262835,Name_2434,22Q91A662434@mrce.in,21.0,Visakhapatnam
T00015,C5312,2023-08-05,213.37224359419156,Speaker,0.20542489233804334,Name_5312,22Q91A665312@mrce.in,20.0,Secunderabad
T00016,C5052,2023-03-15,508.27231175158767,Desk,0.5033083346157402,Name_5052,22Q91A665052@mrce.in,23.0,Nizamabad
T00017,C6421,,628.0693230179343,Desk,0.6243172794883912,Name_6421,22Q91A666421@mrce.in,24.0,Nizamabad
T00018,C1185,2023-05-14,520.3310123404561,Monitor,0.5154890277680085,Name_1185,22Q91A661185@mrce.in,19.0,Nizamabad
T00019,C4556,2023-09-19,644.2734914768785,Monitor,0.6406853783835794,Name_4556,22Q91A664556@mrce.in,22.0,Visakhapatnam
T00020,C3386,2023-10-11,858.7143987801528,Mouse,0.8572956899097139,Name_3386,22Q91A663386@mrce.in,25.0,Secunderabad
T00021,C6397,2023-04-12,101.05455228655156,Laptop,0.09197093241034893,Name_6397,22Q91A666397@mrce.in,19.0,Karimnagar
T00022,C8667,2023-07-25,379.0470506975004,Headphones,0.3727757585042957,Name_8667,22Q91A668667@mrce.in,27.0,Warangal
T00023,C9275,2023-05-21,510.3111175450563,Cable,0.5053677661095641,Name_9275,22Q91A669275@mrce.in,20.0,Hyderabad
T00024,C2559,2023-01-13,528.0032509113422,Cable,0.5232388829977858,Name_2559,unknown,25.0,Guntur
T00025,C7850,2023-09-06,22.120568201820248,Laptop,0.012238407969889595,Name_7850,unknown,27.0,Secunderabad
T00026,C2048,2023-05-03,581.1834027156281,Desk,0.576957034978192,Name_2048,22Q91A662048@mrce.in,21.0,Visakhapatnam
T00027,C2748,2023-01-10,698.9043782118114,Chair,0.6958689417410456,Name_2748,22Q91A662748@mrce.in,27.0,Karimnagar
T00028,C9168,2023-03-21,395.746052690148,Mouse,0.38964369694613094,Name_9168,22Q91A669168@mrce.in,26.0,Warangal
T00030,C0190,,683.6150984705241,Speaker,0.6804249870897687,Name_190,22Q91A66190@mrce.in,20.0,Warangal
T00031,C2735,2023-07-26,633.9710248115217,Mouse,0.6302786862000099,Name_2735,22Q91A662735@mrce.in,24.0,Nizamabad
T00033,C4659,2023-02-06,981.2949569183678,Keyboard,0.9811163415721068,Name_4659,22Q91A664659@mrce.in,21.0,Visakhapatnam
T00034,C1900,2023-09-21,470.4219835983524,Monitor,0.46507509136125463,Name_1900,22Q91A661900@mrce.in,,Nizamabad
